snr,x,y,q,hc,h,r,s,dv,cat,area,ps,component
"2017","39593","385373",2.227,10.428,50,"0",0,"1","1200","528","0",NOx
"2017","39593","385373",0.6042,3.379,35,"0",0,"1","1200","528","0",NOx
"2017","39593","385373",0.4719,1.014,130,"0",0,"1","1200","528","0",NOx
"2017","39593","385373",3.119,7.218,120,"0",0,"1","1200","528","0",NOx
"2017","39593","385373",5.959,15.545,120,"0",0,"1","1200","528","0",NOx
"2017","39593","385373",0.4719,0.314,120,"0",0,"1","1200","528","0",NOx
"2017","62211","442793",0.1979,0.924,15,"0",0,"1","1200","528","0",NOx
"2017","66940","439970",3.669,21.035,120,"0",0,"1","1200","528","0",NOx
"2017","66980","440110",8.422,29.549,120,"0",0,"1","1200","528","0",NOx
"2017","67050","440350",14.96,38.892,150,"0",0,"1","1200","528","0",NOx
"2017","67100","440550",0.7043,14.594,52,"0",0,"1","1200","528","0",NOx
"2017","67100","440670",0.7043,14.594,92,"0",0,"1","1200","528","0",NOx
"2017","67160","440100",6.665,26.872,120,"0",0,"1","1200","528","0",NOx
"2017","70939","439147",3.425,5.342,90,"0",0,"1","1200","528","0",NOx
"2017","70943","439274",2.603,8.77,90,"0",0,"1","1200","528","0",NOx
"2017","71261","439261",1.425,3.102,90,"0",0,"1","1200","528","0",NOx
"2017","71344","439078",0.9451,6.082,160,"0",0,"1","1200","528","0",NOx
"2017","71376","439072",4.536,4.585,90,"0",0,"1","1200","528","0",NOx
"2017","74481","436425",0.03684,0.074,10,"0",0,"1","1200","528","0",NOx
"2017","74493","436373",0.01235,0.113,20,"0",0,"1","1200","528","0",NOx
"2017","74500","436439",0.6542,0.999,30,"0",0,"1","1200","528","0",NOx
"2017","79306","432019",0.6338,8.591,90,"0",0,"1","1200","528","0",NOx
"2017","79306","432019",0.02881,0.661,90,"0",0,"1","1200","528","0",NOx
"2017","79566","432145",0.2359,2.865,125,"0",0,"1","1200","528","0",NOx
"2017","79566","432145",0.5655,6.977,125,"0",0,"1","1200","528","0",NOx
"2017","79782","432361",1.945,7.294,90,"0",0,"1","1200","528","0",NOx
"2017","79782","432361",2.128,7.294,90,"0",0,"1","1200","528","0",NOx
"2017","79802","432243",7.564,8.351,60,"0",0,"1","1200","528","0",NOx
"2017","79810","432199",4.46,14.408,150,"0",0,"1","1200","528","0",NOx
"2017","79810","432199",0.7479,3.602,150,"0",0,"1","1200","528","0",NOx
"2017","79924","432145",0.2005,0.618,60,"0",0,"1","1200","528","0",NOx
"2017","79924","432145",0.03255,0,60,"0",0,"1","1200","528","0",NOx
"2017","80024","432333",4.417,21.191,90,"0",0,"1","1200","528","0",NOx
"2017","80191","433416",0.3374,1.94,20,"0",0,"1","1200","528","0",NOx
"2017","80191","433416",0.02501,0.17,22,"0",0,"1","1200","528","0",NOx
"2017","80260","432673",0.1362,0,100,"0",0,"1","1200","528","0",NOx
"2017","82530","433052",5.449,8.5,60,"0",0,"1","1200","528","0",NOx
"2017","82565","433101",7.306,8.5,60,"0",0,"1","1200","528","0",NOx
"2017","82574","432924",1.483,2.876,80,"0",0,"1","1200","528","0",NOx
"2017","82574","432924",3.026,20.685,100,"0",0,"1","1200","528","0",NOx
"2017","82574","432924",7.387,17.639,213,"0",0,"1","1200","528","0",NOx
"2017","82574","432924",27.49,77.446,213,"0",0,"1","1200","528","0",NOx
"2017","82620","432750",0.06399,0.286,61,"0",0,"1","1200","528","0",NOx
"2017","82705","433010",2.637,8.075,60,"0",0,"1","1200","528","0",NOx
"2017","82730","432500",0.256,0.44,60,"0",0,"1","1200","528","0",NOx
"2017","82730","432500",0.1919,0.44,60,"0",0,"1","1200","528","0",NOx
"2017","82825","432930",1.024,1.947,110,"0",0,"1","1200","528","0",NOx
"2017","82830","432370",0.32,1.684,75,"0",0,"1","1200","528","0",NOx
"2017","82830","432370",0.32,0.63,75,"0",0,"1","1200","528","0",NOx
"2017","82955","432620",3.196,3.95,100,"0",0,"1","1200","528","0",NOx
"2017","82970","432925",1.217,1.5,80,"0",0,"1","1200","528","0",NOx
"2017","83010","432485",2.658,3.815,117,"0",0,"1","1200","528","0",NOx
"2017","83060","433140",0.01969,9.5,130,"0",0,"1","1200","528","0",NOx
"2017","83060","433139",0.1018,9.5,130,"0",0,"1","1200","528","0",NOx
"2017","83100","433050",1.519,0.882,85,"0",0,"1","1200","528","0",NOx
"2017","84897","433209",0.01838,9.5,125,"0",0,"1","1200","528","0",NOx
"2017","250804","608330",0.0023,0.314,5,"0",0,"1","1200","528","0",NOx
