snr,x,y,q,hc,h,r,s,dv,cat,area,ps,component
"2017","73500","451500",8.072e-05,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","80500","459500",0.006537,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","83500","383500",0.000686,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","86500","427500",0.00214,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","88500","467500",0.0006455,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","89500","426500",0.00323,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","89500","435500",0.0006054,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","93500","451500",0.00331,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","96500","435500",0.007428,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","101500","504500",0.002059,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","104500","493500",0.007383,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","104500","508500",0.000444,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","105500","501500",0.0004036,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","105500","508500",0.001453,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","107500","447500",0.009686,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","107500","521500",0.0006054,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","109500","425500",0.0007263,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","112500","419500",0.001856,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","112500","437500",0.0001211,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","114500","562500",0.0002825,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","115500","494500",0.0001614,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","116500","400500",0.007061,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","121500","486500",0.0005247,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","122500","489500",0.0002422,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","123500","503500",0.0002018,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","132500","424500",0.0002422,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","132500","457500",0.05993,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","136500","449500",0.0006054,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","145500","528500",0.001332,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","146500","528500",0.0004036,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","148500","411500",0.01311,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","160500","501500",0.004762,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","161500","380500",0.00331,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","166500","450500",8.072e-05,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","168500","402500",0.001937,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","177500","316500",0.01679,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","180500","579500",0.00944,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","189500","347500",8.072e-05,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","195500","443500",0.02301,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","201500","501500",0.01057,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","229500","527500",0.0001614,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","231500","556500",0.002543,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","234500","558500",0.001493,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","234500","581500",0.004965,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","234500","585500",0.00105,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","236500","558500",0.0003633,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","237500","572500",0.001493,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","246500","563500",0.0003633,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","250500","478500",8.072e-05,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","255500","536500",0.0003633,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","256500","534500",0.001372,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","259500","479500",0.0001614,0.014,8,"1000",4,"1","6200","528","0",NOx
"2017","264500","573500",0.00105,0.014,8,"1000",4,"1","6200","528","0",NOx
