snr,x,y,q,hc,h,r,s,dv,cat,area,ps,component
"2017","40250","393250",0.00732,0,457,"7500",457,"0","3617","528","0",NOx
"2017","40250","393250",0.00119,0,15,"100",7.5,"0","3617","528","0",NOx
"2017","96861","396262",0.01777,0,457,"7500",457,"0","3617","528","0",NOx
"2017","96861","396262",0.00247,0,15,"100",7.5,"0","3617","528","0",NOx
"2017","114685","548730",0.06774,0,75,"50",75,"0","3617","528","0",NOx
"2017","114685","548730",0.04519,0,150,"3750",150,"0","3617","528","0",NOx
"2017","117750","570250",0.006919,0,15,"100",7.5,"0","3617","528","0",NOx
"2017","117750","570250",0.01854,0,457,"7500",457,"0","3617","528","0",NOx
"2017","138750","466750",0.01718,0,457,"7500",457,"0","3617","528","0",NOx
"2017","138750","466750",0.002138,0,15,"100",7.5,"0","3617","528","0",NOx
"2017","169750","362750",0.005144,0,15,"100",7.5,"0","3617","528","0",NOx
"2017","169750","362750",0.02362,0,457,"7500",457,"0","3617","528","0",NOx
"2017","174750","607250",0.002167,0,457,"7500",457,"0","3617","528","0",NOx
"2017","174750","607250",0.0003094,0,15,"100",7.5,"0","3617","528","0",NOx
"2017","200750","472750",0.01172,0,15,"100",7.5,"0","3617","528","0",NOx
"2017","200750","472750",0.03132,0,457,"7500",457,"0","3617","528","0",NOx
"2017","204750","570750",0.001649,0,457,"7500",457,"0","3617","528","0",NOx
"2017","204750","570750",0.0001346,0,15,"100",7.5,"0","3617","528","0",NOx
"2017","231250","527750",0.006978,0,457,"7500",457,"0","3617","528","0",NOx
"2017","231250","527750",0.001317,0,15,"100",7.5,"0","3617","528","0",NOx
