snr,x,y,q,hc,h,r,s,dv,cat,area,ps,component
"2017","20500","381500",2.804e-06,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","20500","382500",6.531e-05,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","20500","383500",2.417e-08,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","20500","386500",1.478e-08,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","20500","392500",4.305e-05,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","20500","393500",2.804e-05,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","21500","381500",1.139e-06,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","21500","382500",6.715e-05,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","21500","383500",3.514e-07,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","21500","384500",2.351e-08,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","21500","385500",7.393e-09,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","21500","391500",2.991e-05,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","21500","392500",3.875e-05,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","22500","381500",5.308e-07,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","22500","382500",6.066e-05,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","22500","383500",7.558e-06,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","22500","384500",2.349e-07,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","22500","390500",1.648e-05,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","22500","391500",5.194e-05,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","23500","381500",1.5e-07,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","23500","382500",4.465e-05,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","23500","383500",2.432e-05,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","23500","384500",2.43e-07,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","23500","389500",2.327e-05,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","23500","390500",5.705e-05,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","23500","391500",4.461e-07,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
"2017","24500","381500",4.481e-08,1.238,21.8,"1000",10.9,"0","3822","528","0",NH3
